HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457859.03841,2017-04-15.5369222,bb,2.00,13.686,7.969,0.004,2490.140,8.739
2457863.98861,2017-04-20.4872460,bb,1.63,13.716,8.015,0.004,2386.253,7.844
2457863.98990,2017-04-20.4885344,bb,1.69,13.699,7.982,0.004,2459.114,8.126
2457863.99116,2017-04-20.4897991,bb,1.70,13.703,7.993,0.004,2436.260,8.384
2457869.88748,2017-04-26.3862697,bb,1.69,13.698,7.983,0.004,2460.037,8.692
2457869.88876,2017-04-26.3875454,bb,1.70,13.698,7.987,0.003,2449.976,7.741
2457869.89002,2017-04-26.3888145,bb,1.73,13.687,7.966,0.004,2498.309,8.924
2457877.82821,2017-05-04.3272238,bb,1.70,13.704,8.015,0.004,2387.963,9.087
2457877.82946,2017-05-04.3284849,bb,1.63,13.697,7.998,0.004,2426.015,9.189
2457877.83073,2017-05-04.3297540,bb,1.66,13.728,8.056,0.004,2298.950,8.005
2457881.80262,2017-05-08.3017583,bb,1.68,13.695,8.004,0.005,2409.727,10.672
2457881.80388,2017-05-08.3030208,bb,1.64,13.702,8.025,0.004,2366.660,9.374
2457881.80516,2017-05-08.3043003,bb,1.62,13.689,7.999,0.005,2424.462,10.520
2457884.94154,2017-05-11.4407803,bb,1.73,13.721,8.032,0.004,2349.629,8.437
2457884.94281,2017-05-11.4420513,bb,1.87,13.704,8.006,0.005,2407.314,10.113
2457884.94409,2017-05-11.4433291,bb,1.71,13.705,8.015,0.004,2386.129,9.470
2457891.01518,2017-05-17.5146167,bb,1.98,13.682,7.978,0.004,2471.174,8.288
2457891.01646,2017-05-17.5158932,bb,1.94,13.706,8.024,0.004,2368.301,7.781
2457891.01772,2017-05-17.5171576,bb,2.02,13.717,8.056,0.004,2300.127,7.749
2457891.84057,2017-05-18.3400351,bb,2.03,13.698,7.992,0.004,2437.719,8.175
2457891.84184,2017-05-18.3413052,bb,1.98,13.700,7.993,0.003,2436.167,7.773
2457891.84312,2017-05-18.3425820,bb,2.07,13.702,7.999,0.004,2422.278,8.667
2457894.79527,2017-05-21.2948304,bb,1.73,13.677,7.957,0.004,2517.798,9.374
2457894.79653,2017-05-21.2960938,bb,1.66,13.690,7.980,0.004,2464.313,9.298
2457894.79781,2017-05-21.2973706,bb,1.69,13.680,7.965,0.004,2500.372,8.645
