star,hjd,dv,err
HD129798,2452412.80330,-1.289,0.005
HD129798,2452412.82703,-1.278,0.004
HD129798,2452414.79620,-1.258,0.006
HD129798,2452414.82111,-1.280,0.010
HD129798,2452415.79335,-1.288,0.003
HD129798,2452415.79745,-1.289,0.003
HD129798,2452415.81891,-1.282,0.005
HD129798,2452416.78847,-1.292,0.006
HD129798,2452416.79255,-1.289,0.006
HD129798,2452416.81592,-1.287,0.004
HD129798,2452417.81457,-1.285,0.003
HD129798,2452418.78506,-1.303,0.009
HD129798,2452418.78916,-1.291,0.005
HD129798,2452418.81034,-1.288,0.007
HD129798,2452419.77992,-1.281,0.005
HD129798,2452419.78399,-1.302,0.008
HD129798,2452419.80773,-1.280,0.002
HD129798,2452420.77690,-1.311,0.010
HD129798,2452420.80510,-1.296,0.009
HD129798,2452421.77500,-1.295,0.004
HD129798,2452421.77907,-1.293,0.013
HD129798,2452421.80109,-1.284,0.004
HD129798,2452422.77117,-1.287,0.006
HD129798,2452422.77525,-1.294,0.009
HD129798,2452422.79955,-1.280,0.011
HD129798,2452423.76778,-1.299,0.010
HD129798,2452423.77185,-1.286,0.005
HD129798,2452423.79819,-1.288,0.004
HD129798,2452424.76655,-1.304,0.013
HD129798,2452424.77062,-1.293,0.009
HD129798,2452424.79367,-1.292,0.003
HD129798,2452425.76348,-1.291,0.012
HD129798,2452425.76755,-1.300,0.014
HD129798,2452425.79120,-1.286,0.004
HD129798,2452426.78810,-1.299,0.008
HD129798,2452427.75724,-1.296,0.007
HD129798,2452427.76130,-1.286,0.005
HD129798,2452427.78601,-1.287,0.009
HD129798,2452428.75362,-1.296,0.013
HD129798,2452428.75770,-1.288,0.003
HD129798,2452428.78254,-1.294,0.015
HD129798,2452429.75458,-1.302,0.009
HD129798,2452429.75864,-1.287,0.003
HD129798,2452429.77962,-1.287,0.005
HD129798,2452430.75445,-1.300,0.010
HD129798,2452430.77705,-1.290,0.006
HD129798,2452431.75190,-1.308,0.018
HD129798,2452431.75598,-1.308,0.009
HD129798,2452431.77429,-1.277,0.005
HD129798,2452432.78192,-1.292,0.017
HD129798,2452433.74614,-1.285,0.009
HD129798,2452433.77184,-1.288,0.004
HD129798,2452434.74307,-1.286,0.018
HD129798,2452434.74716,-1.291,0.008
HD129798,2452434.76571,-1.300,0.009
HD129798,2452435.73665,-1.286,0.006
HD129798,2452435.74072,-1.297,0.011
HD129798,2452435.76310,-1.280,0.002
HD129798,2452437.73563,-1.296,0.014
HD129798,2452438.73318,-1.327,0.012
HD129798,2452438.75551,-1.272,0.019
HD129798,2452439.72322,-1.302,0.016
HD129798,2452439.72728,-1.308,0.018
HD129798,2452439.75238,-1.294,0.017
HD129798,2452441.72443,-1.188,0.000
HD129798,2452441.72851,-1.188,0.000
HD129798,2452441.74682,-1.188,0.000
HD129798,2452442.71715,-1.291,0.012
HD129798,2452442.72121,-1.287,0.008
HD129798,2452442.74570,-1.281,0.009
HD129798,2452443.71423,-1.277,0.014
HD129798,2452443.71855,-1.292,0.007
HD129798,2452443.74349,-1.293,0.007
HD129798,2452444.71280,-1.301,0.013
HD129798,2452444.71687,-1.312,0.007
HD129798,2452444.74033,-1.278,0.011
HD129798,2452445.71352,-1.288,0.010
HD129798,2452445.71761,-1.318,0.008
HD129798,2452445.73551,-1.297,0.008
HD129798,2452446.70851,-1.286,0.004
HD129798,2452446.71253,-1.305,0.012
HD129798,2452446.73354,-1.274,0.020
HD129798,2452447.70683,-1.295,0.014
HD129798,2452447.71090,-1.308,0.006
HD129798,2452447.73066,-1.282,0.014
HD129798,2452448.69772,-1.288,0.007
HD129798,2452448.72791,-1.286,0.009
HD129798,2452449.70431,-1.313,0.017
HD129798,2452449.70839,-1.298,0.012
HD129798,2452449.72575,-1.292,0.016
HD129798,2452452.71668,-1.262,0.011
HD129798,2452454.68670,-1.320,0.013
HD129798,2452459.67875,-1.307,0.012
HD129798,2452460.66895,-1.291,0.015
HD129798,2452461.66462,-1.302,0.019
HD129798,2452462.66883,-1.302,0.010
HD129798,2452693.04059,-1.279,0.009
HD129798,2452693.04481,-1.284,0.003
HD129798,2452700.02225,-1.283,0.003
HD129798,2452700.02647,-1.285,0.003
HD129798,2452706.00317,-1.291,0.006
HD129798,2452706.00737,-1.283,0.002
HD129798,2452706.02736,-1.289,0.005
HD129798,2452707.00099,-1.287,0.003
HD129798,2452707.00522,-1.291,0.002
HD129798,2452707.02455,-1.284,0.003
HD129798,2452707.99609,-1.285,0.002
HD129798,2452708.00030,-1.293,0.004
HD129798,2452708.02166,-1.294,0.017
HD129798,2452708.99473,-1.286,0.003
HD129798,2452709.01988,-1.284,0.004
HD129798,2452709.99260,-1.286,0.003
HD129798,2452709.99683,-1.288,0.003
HD129798,2452710.01918,-1.288,0.005
HD129798,2452710.98839,-1.297,0.008
HD129798,2452710.99257,-1.290,0.004
HD129798,2452711.01393,-1.293,0.003
HD129798,2452711.99027,-1.264,0.003
HD129798,2452712.01187,-1.282,0.009
HD129798,2452718.99382,-1.285,0.003
HD129798,2452719.96567,-1.287,0.002
HD129798,2452719.96987,-1.291,0.006
HD129798,2452719.98890,-1.288,0.004
HD129798,2452720.96391,-1.289,0.003
HD129798,2452720.96810,-1.286,0.001
HD129798,2452720.98785,-1.284,0.005
HD129798,2452721.95387,-1.287,0.004
HD129798,2452721.95807,-1.288,0.002
HD129798,2452721.98326,-1.290,0.003
HD129798,2452722.95799,-1.289,0.003
HD129798,2452722.96218,-1.288,0.003
HD129798,2452722.98121,-1.287,0.003
HD129798,2452723.94945,-1.290,0.003
HD129798,2452723.95364,-1.288,0.004
HD129798,2452723.97883,-1.281,0.004
HD129798,2452724.95141,-1.291,0.006
HD129798,2452724.95562,-1.285,0.004
HD129798,2452724.97795,-1.286,0.003
HD129798,2452725.94574,-1.280,0.003
HD129798,2452725.94981,-1.289,0.003
HD129798,2452725.97082,-1.282,0.002
HD129798,2452726.94074,-1.286,0.002
HD129798,2452726.94479,-1.285,0.002
HD129798,2452726.96869,-1.282,0.004
HD129798,2452727.93834,-1.272,0.015
HD129798,2452727.96695,-1.260,0.009
HD129798,2452728.93571,-1.288,0.002
HD129798,2452728.93992,-1.281,0.005
HD129798,2452728.96516,-1.285,0.001
HD129798,2452729.93317,-1.294,0.007
HD129798,2452729.93738,-1.288,0.005
HD129798,2452729.96256,-1.289,0.001
HD129798,2452730.93478,-1.292,0.005
HD129798,2452730.93899,-1.290,0.001
HD129798,2452730.96002,-1.291,0.005
HD129798,2452732.92858,-1.284,0.004
HD129798,2452732.93265,-1.294,0.007
HD129798,2452732.95374,-1.286,0.001
HD129798,2452733.92195,-1.291,0.001
HD129798,2452733.92616,-1.284,0.005
HD129798,2452733.95137,-1.289,0.004
HD129798,2452734.92393,-1.290,0.003
HD129798,2452734.92802,-1.288,0.002
HD129798,2452734.94602,-1.287,0.001
HD129798,2452735.92125,-1.285,0.002
HD129798,2452735.92545,-1.285,0.002
HD129798,2452735.94779,-1.289,0.003
HD129798,2452736.91533,-1.286,0.002
HD129798,2452736.91943,-1.285,0.002
HD129798,2452736.94220,-1.286,0.002
HD129798,2452737.90936,-1.287,0.005
HD129798,2452737.91355,-1.288,0.001
HD129798,2452737.94079,-1.284,0.002
HD129798,2452740.90148,-1.284,0.001
HD129798,2452740.90554,-1.281,0.004
HD129798,2452740.93018,-1.286,0.001
HD129798,2452743.89672,-1.339,0.008
HD129798,2452745.89052,-1.292,0.004
HD129798,2452745.89459,-1.291,0.005
HD129798,2452745.91561,-1.288,0.004
HD129798,2452747.88462,-1.285,0.001
HD129798,2452747.88873,-1.285,0.004
HD129798,2452747.91201,-1.288,0.003
HD129798,2452748.88209,-1.285,0.003
HD129798,2452748.88615,-1.283,0.002
HD129798,2452748.90771,-1.283,0.001
HD129798,2452749.87640,-1.289,0.002
HD129798,2452749.88047,-1.283,0.003
HD129798,2452749.90483,-1.287,0.004
HD129798,2452750.87427,-1.287,0.002
HD129798,2452750.90184,-1.289,0.001
HD129798,2452751.87182,-1.278,0.007
HD129798,2452751.87589,-1.291,0.004
HD129798,2452752.89675,-1.282,0.008
HD129798,2452753.87291,-1.283,0.004
HD129798,2452753.91555,-1.288,0.002
HD129798,2452754.86647,-1.283,0.004
HD129798,2452754.87058,-1.283,0.004
HD129798,2452754.89099,-1.288,0.002
HD129798,2452755.86118,-1.274,0.016
HD129798,2452755.86524,-1.277,0.003
HD129798,2452755.88810,-1.284,0.003
HD129798,2452757.85849,-1.284,0.007
HD129798,2452757.86257,-1.299,0.003
HD129798,2452759.84748,-1.290,0.006
HD129798,2452759.85155,-1.286,0.004
HD129798,2452759.87714,-1.269,0.018
HD129798,2452760.85017,-1.275,0.001
HD129798,2452760.85426,-1.292,0.002
HD129798,2452760.87469,-1.288,0.005
HD129798,2452761.84539,-1.284,0.012
HD129798,2452761.84945,-1.282,0.016
HD129798,2452762.86918,-1.277,0.010
HD129798,2452764.83615,-1.285,0.005
HD129798,2452764.84025,-1.276,0.006
HD129798,2452764.86549,-1.286,0.003
HD129798,2452765.83243,-1.286,0.003
HD129798,2452765.83651,-1.273,0.014
HD129798,2452766.83925,-1.284,0.001
HD129798,2452766.86114,-1.285,0.005
HD129798,2452768.82496,-1.276,0.006
HD129798,2452768.82905,-1.276,0.013
HD129798,2452768.85454,-1.290,0.006
HD129798,2452769.82414,-1.188,0.000
HD129798,2452769.82823,-1.188,0.000
HD129798,2452769.84979,-1.188,0.000
HD129798,2452770.82023,-1.188,0.000
HD129798,2452770.82436,-1.188,0.000
HD129798,2452770.84734,-1.188,0.000
HD129798,2452771.82525,-1.188,0.000
HD129798,2452771.84969,-1.188,0.000
HD129798,2452772.84487,-1.282,0.008
HD129798,2452776.80622,-1.286,0.010
HD129798,2452776.83521,-1.293,0.015
HD129798,2452777.82798,-1.283,0.016
HD129798,2452778.82660,-1.282,0.002
HD129798,2452779.82229,-1.286,0.007
HD129798,2452784.78704,-1.106,0.012
HD129798,2452784.80869,-1.279,0.003
HD129798,2452785.78146,-1.312,0.012
HD129798,2452785.80695,-1.189,0.004
HD129798,2452790.77196,-1.315,0.017
HD129798,2452791.76432,-1.298,0.017
HD129798,2452792.78651,-1.274,0.012
HD129798,2452797.78139,-1.285,0.006
HD129798,2452798.77311,-1.320,0.009
HD129798,2452798.77879,-1.300,0.009
HD129798,2452798.79723,-1.308,0.006
HD129798,2452800.76871,-1.302,0.014
HD129798,2452800.77440,-1.289,0.007
HD129798,2452800.79165,-1.322,0.008
HD129798,2452801.76409,-1.292,0.006
HD129798,2452802.76242,-1.293,0.017
HD129798,2452802.76815,-1.284,0.007
HD129798,2452802.78669,-1.321,0.010
HD129798,2452803.76695,-1.322,0.016
HD129798,2452809.75270,-1.283,0.010
HD129798,2452811.73899,-1.270,0.013
HD129798,2452811.79065,-1.183,0.004
HD129798,2452812.73325,-1.311,0.004
HD129798,2452812.75856,-1.298,0.007
HD129798,2452813.73159,-1.279,0.014
HD129798,2452814.72875,-1.314,0.007
HD129798,2452814.73444,-1.284,0.004
HD129798,2452814.75448,-1.287,0.006
HD129798,2452815.74184,-1.329,0.006
HD129798,2452815.77889,-1.282,0.003
HD129798,2452817.71997,-1.117,0.016
HD129798,2452817.72567,-1.298,0.003
HD129798,2452819.71928,-1.321,0.017
HD129798,2452823.71784,-1.140,0.020
HD129798,2452828.70556,-1.319,0.017
HD129798,2452830.69946,-1.255,0.012
HD129798,2453052.05203,-1.292,0.006
HD129798,2453053.04982,-1.299,0.008
HD129798,2453054.04749,-1.219,0.017
HD129798,2453058.03246,-1.284,0.005
HD129798,2453058.03657,-1.290,0.003
HD129798,2453061.02936,-1.285,0.003
HD129798,2453061.03359,-1.284,0.008
HD129798,2453062.02722,-1.288,0.002
HD129798,2453062.03128,-1.284,0.001
HD129798,2453065.01828,-1.293,0.007
HD129798,2453065.02250,-1.276,0.001
HD129798,2453071.00197,-1.285,0.002
HD129798,2453071.00618,-1.290,0.005
HD129798,2453071.03101,-1.289,0.004
HD129798,2453072.00178,-1.280,0.001
HD129798,2453072.00596,-1.294,0.007
HD129798,2453072.02607,-1.286,0.003
HD129798,2453073.99447,-1.281,0.003
HD129798,2453074.01999,-1.288,0.008
HD129798,2453075.01826,-1.292,0.013
HD129798,2453079.97216,-1.189,0.000
HD129798,2453079.97620,-1.189,0.000
HD129798,2453080.00174,-1.189,0.000
HD129798,2453080.97584,-1.287,0.012
HD129798,2453080.97994,-1.300,0.003
HD129798,2453081.00006,-1.283,0.008
HD129798,2453081.97073,-1.295,0.005
HD129798,2453081.97482,-1.291,0.011
HD129798,2453081.99622,-1.283,0.010
HD129798,2453085.95569,-1.284,0.006
HD129798,2453085.95974,-1.289,0.013
HD129798,2453085.98542,-1.303,0.016
HD129798,2453086.95336,-1.288,0.006
HD129798,2453086.98312,-1.292,0.007
HD129798,2453087.95410,-1.285,0.016
HD129798,2453087.95814,-1.302,0.009
HD129798,2453087.97971,-1.283,0.006
HD129798,2453091.94578,-1.296,0.005
HD129798,2453092.93735,-1.283,0.005
HD129798,2453092.94141,-1.293,0.008
HD129798,2453092.96795,-1.283,0.005
HD129798,2453093.93645,-1.310,0.011
HD129798,2453093.94053,-1.309,0.008
HD129798,2453093.96349,-1.277,0.011
HD129798,2453094.93446,-1.300,0.005
HD129798,2453094.93852,-1.288,0.005
HD129798,2453094.96257,-1.286,0.008
HD129798,2453095.93083,-1.308,0.010
HD129798,2453095.93490,-1.293,0.014
HD129798,2453095.95787,-1.293,0.009
HD129798,2453102.90932,-1.286,0.010
HD129798,2453102.91341,-1.298,0.006
HD129798,2453102.94053,-1.291,0.004
HD129798,2453103.91265,-1.296,0.012
HD129798,2453103.91670,-1.290,0.007
HD129798,2453103.93583,-1.288,0.003
HD129798,2453104.93280,-1.276,0.019
HD129798,2453107.89567,-1.283,0.002
HD129798,2453107.89972,-1.293,0.002
HD129798,2453107.92532,-1.280,0.006
HD129798,2453108.89360,-1.296,0.008
HD129798,2453108.89766,-1.309,0.012
HD129798,2453108.92174,-1.287,0.009
HD129798,2453109.89658,-1.280,0.004
HD129798,2453109.90063,-1.304,0.007
HD129798,2453110.89405,-1.297,0.015
HD129798,2453110.89811,-1.300,0.007
HD129798,2453110.91658,-1.284,0.002
HD129798,2453111.88965,-1.285,0.005
HD129798,2453111.89372,-1.290,0.005
HD129798,2453111.91392,-1.292,0.010
HD129798,2453113.88587,-1.274,0.016
HD129798,2453113.90861,-1.339,0.017
HD129798,2453114.88179,-1.290,0.007
HD129798,2453114.88585,-1.296,0.006
HD129798,2453115.87955,-1.294,0.009
HD129798,2453115.88361,-1.282,0.003
HD129798,2453115.90242,-1.281,0.004
HD129798,2453116.87021,-1.281,0.007
HD129798,2453116.87427,-1.308,0.012
HD129798,2453117.86781,-1.289,0.003
HD129798,2453117.87190,-1.298,0.009
HD129798,2453117.89759,-1.279,0.017
HD129798,2453118.86559,-1.274,0.010
HD129798,2453118.86965,-1.289,0.008
HD129798,2453118.89531,-1.286,0.008
HD129798,2453119.86533,-1.281,0.010
HD129798,2453119.86940,-1.287,0.004
HD129798,2453119.90930,-1.287,0.006
HD129798,2453120.86026,-1.291,0.006
HD129798,2453120.86432,-1.303,0.010
HD129798,2453120.89078,-1.283,0.010
HD129798,2453123.85314,-1.311,0.008
HD129798,2453125.84863,-1.222,0.017
HD129798,2453125.85270,-1.280,0.007
HD129798,2453125.87550,-1.280,0.014
HD129798,2453126.87215,-1.291,0.006
HD129798,2453127.84102,-1.272,0.009
HD129798,2453127.87148,-1.284,0.009
HD129798,2453128.84302,-1.268,0.014
HD129798,2453129.83531,-1.289,0.010
HD129798,2453129.83935,-1.279,0.020
HD129798,2453129.86491,-1.297,0.009
HD129798,2453130.83566,-1.285,0.019
HD129798,2453131.85937,-1.308,0.014
HD129798,2453132.83243,-1.317,0.012
HD129798,2453137.81698,-1.106,0.019
HD129798,2453138.81498,-1.299,0.005
HD129798,2453139.81124,-1.286,0.008
HD129798,2453145.79778,-1.299,0.009
HD129798,2453146.78969,-1.289,0.016
HD129798,2453146.79376,-1.293,0.015
HD129798,2453147.79357,-1.191,0.008
HD129798,2453148.79037,-1.309,0.007
HD129798,2453149.78937,-1.304,0.018
HD129798,2453153.77412,-1.176,0.013
HD129798,2453153.79822,-1.260,0.006
HD129798,2453154.80099,-1.289,0.007
HD129798,2453163.74904,-1.244,0.019
HD129798,2453164.73805,-1.276,0.018
HD129798,2453165.76905,-1.187,0.012
HD129798,2453166.73658,-0.942,0.013
HD129798,2453166.76279,-1.236,0.019
HD129798,2453182.72675,-1.184,0.015
HD129798,2453183.71896,-1.200,0.011
